template,question,relevant_documents
What are the main {tag} policies?,What are the main Access to business opportunities policies?,"document_1996,document_1815,document_1805,document_188,document_36,document_597,document_883,document_1377,document_1385,document_1194,document_1195,segment_36_7,segment_597_2,segment_597_5,segment_597_6,segment_883_4,segment_1194_3,segment_1195_2,segment_1377_54,segment_1385_24,segment_1385_25,segment_1805_21,segment_1815_27,segment_1996_8"
What are the main {tag} policies?,What are the main Agriculture and resource extraction policies?,"document_2151,document_660,document_1382,document_25,document_77,document_65,document_76,document_460,document_320,document_757,segment_460_4,segment_660_2,segment_757_125,segment_1065_6,segment_1382_10,segment_2151_1"
What are the main {tag} policies?,"What are the main Arts, sports, leisure, travel, and lifestyle policies?","document_1544,document_1378,document_380,document_481,document_168,document_473,document_560,document_301,document_266,segment_266_10,segment_380_3,segment_380_4,segment_380_5,segment_380_6,segment_473_5,segment_481_2,segment_481_6,segment_560_3,segment_1378_4,segment_1544_2"
What are the main {tag} policies?,What are the main Broadcasting and media production policies?,"document_1549,document_1551,document_1734,document_1558,document_447,document_2096,document_1974,document_904,document_1378,document_456,document_193,document_54,document_826,document_36,document_396,document_517,document_573,document_886,document_883,document_1251,document_1305,document_328,document_995,document_367,document_301,document_309,document_1377,document_266,segment_36_13,segment_266_9,segment_266_10,segment_367_1,segment_396_4,segment_447_3,segment_456_4,segment_517_3,segment_517_6,segment_573_2,segment_573_4,segment_573_5,segment_573_6,segment_573_7,segment_573_8,segment_826_2,segment_883_2,segment_886_3,segment_886_4,segment_886_5,segment_886_6,segment_886_7,segment_886_8,segment_886_9,segment_886_10,segment_904_3,segment_995_23,segment_1251_4,segment_1305_1,segment_1377_47,segment_1377_48,segment_1378_4,segment_1549_3,segment_1549_4,segment_1549_5,segment_1549_6,segment_1549_7,segment_1549_8,segment_1551_1,segment_1551_2,segment_1551_7,segment_1558_2,segment_1734_1,segment_1734_2,segment_1974_18,segment_1974_19,segment_1974_20,segment_2096_1"
What are the main {tag} policies?,What are the main Civil liability policies?,"document_1549,document_1734,document_1544,document_1558,document_2097,document_1828,document_637,document_2096,document_1996,document_2047,document_1991,document_904,document_1972,document_1826,document_1356,document_1997,document_1378,document_1782,document_1815,document_1805,document_2041,document_481,document_72,document_181,document_826,document_1163,document_36,document_554,document_1376,document_395,document_442,document_441,document_448,document_451,document_436,document_453,document_517,document_793,document_532,document_531,document_590,document_573,document_522,document_560,document_886,document_874,document_988,document_889,document_990,document_1280,document_1305,document_1202,document_288,document_1681,document_329,document_285,document_274,document_278,document_356,document_301,document_286,document_284,document_308,document_37,document_280,document_1377,document_281,segment_36_12,segment_329_11,segment_356_6,segment_395_14,segment_436_4,segment_441_4,segment_442_4,segment_448_2,segment_451_2,segment_453_5,segment_481_8,segment_481_9,segment_517_7,segment_522_15,segment_531_4,segment_531_6,segment_531_9,segment_532_2,segment_554_3,segment_560_10,segment_573_6,segment_590_5,segment_637_2,segment_637_10,segment_637_15,segment_793_3,segment_826_7,segment_826_8,segment_874_4,segment_886_8,segment_889_6,segment_904_6,segment_904_7,segment_904_10,segment_988_6,segment_990_7,segment_1163_33,segment_1163_34,segment_1163_36,segment_1202_6,segment_1280_4,segment_1280_5,segment_1305_2,segment_1356_52,segment_1376_7,segment_1376_11,segment_1377_4,segment_1377_26,segment_1377_56,segment_1377_57,segment_1377_58,segment_1377_59,segment_1378_4,segment_1544_2,segment_1549_4,segment_1549_5,segment_1549_6,segment_1549_7,segment_1549_8,segment_1549_11,segment_1558_6,segment_1681_2,segment_1734_1,segment_1782_31,segment_1805_21,segment_1815_26,segment_1826_25,segment_1826_26,segment_1828_16,segment_1972_6,segment_1972_7,segment_1972_12,segment_1991_8,segment_1996_8,segment_1997_13,segment_2041_8,segment_2047_11,segment_2096_6,segment_2097_13,segment_2097_14"
What are the main {tag} policies?,What are the main Convening policies?,"document_2052,document_1554,document_2097,document_1754,document_1751,document_1379,document_1806,document_838,document_839,document_1054,document_1658,document_1996,document_1970,document_1203,document_660,document_1301,document_1032,document_1356,document_1396,document_1801,document_1243,document_1781,document_1417,document_1383,document_1382,document_1741,document_1737,document_1744,document_1752,document_1738,document_1763,document_1783,document_1802,document_1804,document_1803,document_2041,document_2019,document_511,document_1223,document_1099,document_405,document_2025,document_377,document_571,document_435,document_523,document_1087,document_1109,document_987,document_15,document_3,document_7,document_1,document_60,document_307,document_244,document_161,document_148,document_139,document_159,document_221,document_149,document_23,document_201,document_188,document_198,document_200,document_192,document_186,document_384,document_237,document_14,document_236,document_235,document_231,document_232,document_302,document_212,document_25,document_61,document_277,document_68,document_77,document_65,document_79,document_303,document_181,document_1163,document_767,document_772,document_394,document_554,document_771,document_396,document_395,document_416,document_397,document_399,document_414,document_433,document_440,document_437,document_436,document_462,document_400,document_590,document_522,document_560,document_914,document_604,document_721,document_865,document_855,document_854,document_1222,document_1303,document_326,document_1297,document_1251,document_1202,document_1287,document_288,document_316,document_35,document_329,document_758,document_995,document_360,document_1111,document_765,document_763,document_294,document_284,document_311,document_1125,document_1377,document_757,document_50,document_766,document_1385,document_1387,document_1194,document_1195,document_1196,segment_50_10,segment_50_24,segment_50_25,segment_302_3,segment_307_20,segment_307_25,segment_307_38,segment_307_41,segment_307_46,segment_307_48,segment_307_51,segment_307_53,segment_307_54,segment_307_59,segment_307_63,segment_307_66,segment_307_67,segment_307_68,segment_307_69,segment_307_70,segment_307_73,segment_307_74,segment_307_78,segment_307_80,segment_307_81,segment_307_82,segment_307_84,segment_307_88,segment_307_89,segment_307_90,segment_307_91,segment_307_92,segment_329_4,segment_329_5,segment_329_10,segment_329_11,segment_360_3,segment_377_3,segment_384_3,segment_384_4,segment_394_1,segment_395_3,segment_395_10,segment_395_11,segment_395_13,segment_395_15,segment_396_5,segment_396_8,segment_397_5,segment_397_6,segment_399_7,segment_400_5,segment_400_6,segment_400_7,segment_405_3,segment_405_4,segment_405_5,segment_414_5,segment_416_5,segment_433_5,segment_435_3,segment_435_4,segment_436_4,segment_437_1,segment_437_3,segment_437_4,segment_437_5,segment_440_2,segment_440_7,segment_462_2,segment_462_4,segment_511_3,segment_522_4,segment_522_18,segment_523_4,segment_554_4,segment_560_9,segment_571_4,segment_590_4,segment_604_4,segment_660_5,segment_721_15,segment_757_41,segment_757_59,segment_757_70,segment_757_73,segment_757_75,segment_757_76,segment_757_87,segment_757_89,segment_757_99,segment_757_114,segment_757_120,segment_757_136,segment_757_137,segment_757_141,segment_757_143,segment_757_145,segment_757_147,segment_757_154,segment_757_155,segment_757_164,segment_757_171,segment_757_177,segment_757_180,segment_757_187,segment_757_188,segment_757_192,segment_757_193,segment_757_197,segment_757_201,segment_757_203,segment_757_220,segment_758_3,segment_758_4,segment_763_3,segment_763_4,segment_763_7,segment_763_8,segment_765_1,segment_765_2,segment_765_5,segment_766_5,segment_766_6,segment_767_5,segment_771_17,segment_771_22,segment_771_26,segment_771_29,segment_772_9,segment_772_13,segment_772_18,segment_772_20,segment_772_23,segment_772_24,segment_772_31,segment_772_34,segment_838_2,segment_839_2,segment_851_2,segment_854_3,segment_855_5,segment_865_6,segment_865_9,segment_865_10,segment_914_2,segment_914_3,segment_914_4,segment_914_5,segment_987_15,segment_995_3,segment_995_9,segment_995_10,segment_995_11,segment_995_13,segment_995_35,segment_1019_1,segment_1019_2,segment_1032_3,segment_1032_4,segment_1032_5,segment_1032_9,segment_1054_7,segment_1087_2,segment_1087_4,segment_1087_7,segment_1099_2,segment_1099_5,segment_1099_6,segment_1099_7,segment_1099_10,segment_1099_11,segment_1099_12,segment_1099_13,segment_1099_18,segment_1099_25,segment_1099_26,segment_1099_28,segment_1109_2,segment_1109_7,segment_1111_4,segment_1111_6,segment_1125_3,segment_1163_43,segment_1163_46,segment_1163_47,segment_1163_52,segment_1194_1,segment_1194_2,segment_1194_3,segment_1194_5,segment_1194_6,segment_1195_2,segment_1195_4,segment_1196_1,segment_1202_8,segment_1202_9,segment_1203_3,segment_1222_2,segment_1222_3,segment_1223_1,segment_1243_1,segment_1251_3,segment_1251_5,segment_1287_2,segment_1297_2,segment_1297_4,segment_1301_3,segment_1303_3,segment_1303_4,segment_1303_5,segment_1303_7,segment_1303_12,segment_1303_15,segment_1356_9,segment_1356_12,segment_1356_13,segment_1356_16,segment_1377_6,segment_1377_16,segment_1377_45,segment_1377_52,segment_1377_53,segment_1379_14,segment_1379_15,segment_1379_20,segment_1381_2,segment_1382_1,segment_1382_3,segment_1382_5,segment_1382_9,segment_1382_11,segment_1383_1,segment_1383_3,segment_1383_4,segment_1383_6,segment_1383_11,segment_1385_4,segment_1385_9,segment_1385_12,segment_1385_17,segment_1385_19,segment_1385_20,segment_1385_28,segment_1385_30,segment_1385_35,segment_1385_36,segment_1387_10,segment_1387_15,segment_1387_16,segment_1387_17,segment_1396_6,segment_1396_7,segment_1396_8,segment_1417_2,segment_1554_3,segment_1554_4,segment_1658_2,segment_1737_1,segment_1737_2,segment_1737_3,segment_1737_6,segment_1737_7,segment_1737_9,segment_1738_1,segment_1741_2,segment_1744_1,segment_1744_2,segment_1751_2,segment_1752_1,segment_1754_1,segment_1763_24,segment_1763_33,segment_1763_39,segment_1763_49,segment_1763_52,segment_1763_53,segment_1781_9,segment_1783_5,segment_1783_6,segment_1801_6,segment_1801_12,segment_1802_2,segment_1802_4,segment_1802_5,segment_1802_21,segment_1802_23,segment_1802_24,segment_1803_7,segment_1803_8,segment_1803_10,segment_1804_1,segment_1804_2,segment_1804_5,segment_1806_2,segment_1806_4,segment_1806_8,segment_1970_3,segment_1970_4,segment_1970_5,segment_1970_6,segment_1970_8,segment_1996_9,segment_2019_13,segment_2025_1,segment_2025_2,segment_2041_3,segment_2052_5,segment_2052_6,segment_2052_9,segment_2052_11,segment_2097_20,segment_2097_22,segment_2097_23"
What are the main {tag} policies?,What are the main Detrimental content policies?,"document_1543,document_1555,document_1549,document_1551,document_1734,document_1544,document_1723,document_1828,document_1407,document_1996,document_2047,document_1974,document_1972,document_1356,document_1396,document_1801,document_2040,document_1383,document_1378,document_1782,document_1802,document_1815,document_1053,document_377,document_481,document_523,document_456,document_60,document_307,document_149,document_152,document_194,document_69,document_1499,document_826,document_1293,document_36,document_771,document_442,document_451,document_453,document_517,document_531,document_590,document_573,document_883,document_901,document_896,document_882,document_1303,document_1280,document_1305,document_1287,document_329,document_309,document_308,document_37,document_1377,document_757,document_266,document_766,document_1385,segment_36_3,segment_36_4,segment_36_5,segment_36_7,segment_266_5,segment_266_6,segment_266_7,segment_266_8,segment_266_9,segment_266_14,segment_266_15,segment_307_1,segment_307_23,segment_307_24,segment_307_69,segment_307_74,segment_329_6,segment_377_4,segment_439_1,segment_439_2,segment_439_3,segment_442_2,segment_442_4,segment_451_2,segment_451_4,segment_453_2,segment_453_4,segment_453_5,segment_456_3,segment_481_6,segment_517_3,segment_517_5,segment_523_3,segment_531_3,segment_573_2,segment_573_4,segment_573_5,segment_573_7,segment_573_8,segment_590_5,segment_590_6,segment_757_13,segment_757_105,segment_766_13,segment_766_15,segment_771_24,segment_826_2,segment_826_7,segment_837_1,segment_837_2,segment_837_3,segment_837_4,segment_882_4,segment_883_2,segment_896_3,segment_896_4,segment_901_2,segment_901_5,segment_901_7,segment_1053_3,segment_1280_2,segment_1287_1,segment_1287_2,segment_1287_3,segment_1287_4,segment_1293_1,segment_1293_2,segment_1303_7,segment_1305_1,segment_1356_32,segment_1356_33,segment_1356_35,segment_1356_44,segment_1377_31,segment_1377_48,segment_1378_4,segment_1383_3,segment_1383_10,segment_1385_1,segment_1385_5,segment_1385_20,segment_1385_31,segment_1396_2,segment_1407_2,segment_1499_2,segment_1499_3,segment_1543_2,segment_1543_3,segment_1543_4,segment_1543_5,segment_1544_2,segment_1549_3,segment_1549_4,segment_1549_5,segment_1549_6,segment_1549_7,segment_1549_11,segment_1551_6,segment_1551_7,segment_1555_2,segment_1555_3,segment_1555_4,segment_1555_5,segment_1723_13,segment_1723_15,segment_1723_23,segment_1723_24,segment_1723_25,segment_1723_28,segment_1734_1,segment_1782_13,segment_1801_9,segment_1802_19,segment_1815_21,segment_1828_9,segment_1972_6,segment_1974_8,segment_1974_13,segment_1974_18,segment_1974_20,segment_1996_3,segment_2040_4,segment_2047_7"
What are the main {tag} policies?,What are the main Disclosure policies?,"document_2052,document_1554,document_1562,document_1555,document_1549,document_1551,document_1558,document_1553,document_1545,document_1560,document_1552,document_2097,document_1748,document_1755,document_1379,document_2244,document_389,document_2002,document_1723,document_1806,document_447,document_1054,document_1828,document_1658,document_1588,document_1407,document_637,document_2096,document_1996,document_2047,document_1974,document_1970,document_1678,document_1991,document_904,document_1829,document_1972,document_1826,document_1032,document_1356,document_1997,document_1396,document_1801,document_1243,document_1781,document_2040,document_1417,document_1383,document_1382,document_1737,document_1782,document_1783,document_1831,document_1802,document_1804,document_1815,document_1962,document_1803,document_2041,document_2019,document_1053,document_571,document_1087,document_1109,document_987,document_72,document_73,document_307,document_314,document_244,document_208,document_168,document_304,document_220,document_221,document_23,document_199,document_201,document_204,document_202,document_197,document_187,document_192,document_194,document_239,document_235,document_233,document_302,document_211,document_218,document_247,document_25,document_277,document_179,document_182,document_178,document_169,document_174,document_173,document_177,document_183,document_170,document_1234,document_1499,document_576,document_850,document_891,document_1198,document_826,document_906,document_768,document_1163,document_767,document_36,document_394,document_554,document_1376,document_771,document_396,document_395,document_416,document_397,document_414,document_441,document_448,document_451,document_436,document_443,document_467,document_400,document_793,document_590,document_573,document_597,document_522,document_560,document_604,document_886,document_883,document_874,document_988,document_896,document_889,document_1009,document_1303,document_1280,document_1297,document_1305,document_1202,document_288,document_1371,document_35,document_329,document_285,document_278,document_758,document_995,document_368,document_356,document_360,document_765,document_763,document_785,document_294,document_286,document_284,document_308,document_293,document_290,document_287,document_37,document_280,document_1125,document_1377,document_757,document_50,document_266,document_766,document_1385,document_1387,document_281,document_1194,document_1196,segment_36_5,segment_36_6,segment_36_7,segment_36_8,segment_36_10,segment_36_11,segment_50_17,segment_266_6,segment_266_7,segment_266_12,segment_266_13,segment_266_16,segment_266_18,segment_266_19,segment_269_2,segment_269_3,segment_302_5,segment_307_3,segment_307_14,segment_307_18,segment_307_19,segment_307_21,segment_307_48,segment_307_55,segment_307_74,segment_329_2,segment_329_3,segment_329_6,segment_329_10,segment_329_12,segment_356_3,segment_360_2,segment_368_4,segment_368_5,segment_389_5,segment_394_2,segment_395_8,segment_396_8,segment_397_3,segment_400_3,segment_400_6,segment_414_5,segment_416_3,segment_416_4,segment_416_6,segment_416_7,segment_436_2,segment_436_4,segment_441_2,segment_441_3,segment_443_4,segment_447_4,segment_448_1,segment_448_2,segment_451_3,segment_451_4,segment_467_3,segment_522_5,segment_522_8,segment_522_14,segment_546_4,segment_554_3,segment_560_4,segment_571_3,segment_573_2,segment_573_4,segment_573_5,segment_576_4,segment_590_2,segment_590_4,segment_597_5,segment_597_6,segment_604_4,segment_604_5,segment_604_8,segment_604_9,segment_604_17,segment_637_4,segment_637_6,segment_637_7,segment_637_8,segment_637_9,segment_637_11,segment_637_14,segment_757_6,segment_757_18,segment_757_19,segment_757_22,segment_757_34,segment_757_35,segment_757_36,segment_757_37,segment_757_39,segment_757_41,segment_757_44,segment_757_45,segment_757_46,segment_757_50,segment_757_51,segment_757_55,segment_757_57,segment_757_62,segment_757_63,segment_757_65,segment_757_66,segment_757_68,segment_757_72,segment_757_75,segment_757_78,segment_757_80,segment_757_82,segment_757_83,segment_757_89,segment_757_96,segment_757_97,segment_757_100,segment_757_104,segment_757_108,segment_757_109,segment_757_113,segment_757_118,segment_757_120,segment_757_127,segment_757_130,segment_757_131,segment_757_134,segment_757_148,segment_757_153,segment_757_156,segment_757_159,segment_757_166,segment_757_168,segment_757_169,segment_757_172,segment_757_173,segment_757_177,segment_757_178,segment_757_182,segment_757_183,segment_757_186,segment_757_201,segment_757_203,segment_757_219,segment_757_229,segment_757_230,segment_757_231,segment_757_232,segment_757_237,segment_757_238,segment_757_239,segment_757_241,segment_757_243,segment_757_249,segment_757_250,segment_757_251,segment_757_252,segment_758_3,segment_763_1,segment_763_2,segment_763_3,segment_763_7,segment_765_4,segment_765_5,segment_766_16,segment_766_21,segment_766_26,segment_766_29,segment_767_5,segment_768_2,segment_768_7,segment_768_8,segment_768_18,segment_768_19,segment_768_26,segment_768_29,segment_771_2,segment_771_3,segment_771_4,segment_771_5,segment_771_6,segment_771_8,segment_771_9,segment_771_10,segment_771_11,segment_771_12,segment_771_13,segment_771_15,segment_771_16,segment_771_17,segment_771_20,segment_771_24,segment_771_25,segment_771_28,segment_771_29,segment_771_30,segment_771_31,segment_771_32,segment_771_33,segment_771_34,segment_785_1,segment_785_4,segment_793_2,segment_826_2,segment_826_3,segment_826_4,segment_826_5,segment_826_6,segment_826_15,segment_850_2,segment_851_3,segment_874_3,segment_874_4,segment_883_3,segment_883_4,segment_886_4,segment_886_6,segment_886_7,segment_889_1,segment_889_4,segment_891_3,segment_896_4,segment_904_2,segment_904_4,segment_904_5,segment_904_6,segment_904_8,segment_904_9,segment_904_11,segment_906_6,segment_906_7,segment_906_8,segment_906_9,segment_906_12,segment_906_14,segment_987_14,segment_987_15,segment_988_4,segment_995_3,segment_995_4,segment_995_5,segment_995_6,segment_995_9,segment_995_10,segment_995_13,segment_995_15,segment_995_17,segment_995_20,segment_995_21,segment_995_22,segment_995_24,segment_995_26,segment_995_27,segment_995_28,segment_995_29,segment_995_36,segment_1009_3,segment_1032_3,segment_1032_6,segment_1032_10,segment_1032_12,segment_1053_3,segment_1053_5,segment_1053_6,segment_1054_2,segment_1054_3,segment_1054_4,segment_1054_5,segment_1087_4,segment_1087_5,segment_1087_6,segment_1087_8,segment_1109_6,segment_1109_7,segment_1125_5,segment_1163_17,segment_1163_19,segment_1163_20,segment_1163_21,segment_1163_26,segment_1163_27,segment_1163_28,segment_1194_2,segment_1194_3,segment_1194_4,segment_1194_5,segment_1196_2,segment_1198_2,segment_1198_5,segment_1198_7,segment_1202_4,segment_1202_5,segment_1202_6,segment_1234_2,segment_1243_1,segment_1280_3,segment_1297_5,segment_1303_3,segment_1303_4,segment_1303_6,segment_1303_7,segment_1303_8,segment_1303_9,segment_1303_16,segment_1305_1,segment_1356_3,segment_1356_9,segment_1356_12,segment_1356_13,segment_1356_15,segment_1356_20,segment_1356_21,segment_1356_24,segment_1356_25,segment_1356_26,segment_1356_27,segment_1356_29,segment_1356_31,segment_1356_33,segment_1356_35,segment_1356_38,segment_1356_39,segment_1356_40,segment_1371_2,segment_1371_4,segment_1371_5,segment_1371_6,segment_1376_7,segment_1376_8,segment_1376_9,segment_1376_10,segment_1376_13,segment_1376_14,segment_1376_15,segment_1376_16,segment_1376_17,segment_1376_18,segment_1376_19,segment_1376_20,segment_1376_21,segment_1376_22,segment_1376_23,segment_1376_24,segment_1377_3,segment_1377_5,segment_1377_21,segment_1377_22,segment_1377_23,segment_1377_24,segment_1377_27,segment_1377_29,segment_1377_30,segment_1377_31,segment_1377_35,segment_1377_36,segment_1377_37,segment_1377_43,segment_1377_44,segment_1377_47,segment_1377_51,segment_1377_60,segment_1379_9,segment_1379_12,segment_1379_13,segment_1382_2,segment_1382_3,segment_1382_4,segment_1382_5,segment_1382_6,segment_1382_8,segment_1383_2,segment_1383_5,segment_1383_6,segment_1383_7,segment_1383_9,segment_1385_13,segment_1385_14,segment_1385_16,segment_1385_37,segment_1387_8,segment_1387_9,segment_1387_10,segment_1387_11,segment_1387_13,segment_1387_17,segment_1387_18,segment_1387_19,segment_1396_3,segment_1407_2,segment_1417_10,segment_1417_11,segment_1499_4,segment_1545_2,segment_1545_3,segment_1549_3,segment_1549_4,segment_1549_5,segment_1549_6,segment_1549_8,segment_1549_11,segment_1551_9,segment_1552_1,segment_1553_5,segment_1553_12,segment_1554_4,segment_1554_5,segment_1555_5,segment_1558_2,segment_1558_3,segment_1558_4,segment_1558_5,segment_1560_1,segment_1562_1,segment_1588_1,segment_1588_2,segment_1658_2,segment_1678_2,segment_1678_3,segment_1678_4,segment_1678_5,segment_1723_9,segment_1723_19,segment_1723_20,segment_1737_2,segment_1737_8,segment_1737_10,segment_1748_2,segment_1755_1,segment_1781_10,segment_1782_11,segment_1782_12,segment_1782_14,segment_1782_15,segment_1782_16,segment_1782_24,segment_1782_25,segment_1782_29,segment_1783_2,segment_1783_3,segment_1801_9,segment_1802_21,segment_1802_23,segment_1802_26,segment_1802_27,segment_1803_10,segment_1804_3,segment_1804_7,segment_1806_5,segment_1806_6,segment_1815_9,segment_1815_10,segment_1815_13,segment_1815_14,segment_1815_15,segment_1815_19,segment_1815_34,segment_1815_43,segment_1815_44,segment_1815_45,segment_1826_7,segment_1826_8,segment_1826_9,segment_1826_12,segment_1826_13,segment_1826_14,segment_1826_15,segment_1826_16,segment_1826_18,segment_1826_19,segment_1828_7,segment_1828_8,segment_1828_11,segment_1828_12,segment_1828_17,segment_1829_2,segment_1829_3,segment_1829_4,segment_1829_7,segment_1831_6,segment_1831_7,segment_1962_3,segment_1962_4,segment_1962_6,segment_1962_7,segment_1962_8,segment_1962_9,segment_1962_10,segment_1962_11,segment_1970_6,segment_1972_11,segment_1974_8,segment_1974_14,segment_1974_17,segment_1974_19,segment_1991_3,segment_1991_7,segment_1991_9,segment_1996_5,segment_1996_6,segment_1996_8,segment_1997_4,segment_1997_5,segment_1997_6,segment_1997_7,segment_2002_12,segment_2002_13,segment_2002_14,segment_2019_10,segment_2040_12,segment_2041_2,segment_2041_5,segment_2041_7,segment_2047_6,segment_2052_4,segment_2052_5,segment_2096_2,segment_2096_3,segment_2096_4,segment_2096_5,segment_2097_3,segment_2097_9,segment_2097_11,segment_2097_12,segment_2097_14,segment_2097_29,segment_2244_2,segment_2244_3,segment_2244_6"
What are the main {tag} policies?,What are the main Disclosure: About evaluation policies?,"document_2097,document_2002,document_1054,document_1828,document_637,document_1996,document_1970,document_1678,document_1991,document_1826,document_1032,document_1356,document_1997,document_2040,document_1417,document_1383,document_1382,document_1737,document_1782,document_1804,document_1815,document_1962,document_2041,document_987,document_72,document_73,document_307,document_314,document_208,document_220,document_221,document_23,document_201,document_197,document_187,document_192,document_239,document_235,document_233,document_218,document_25,document_277,document_179,document_182,document_178,document_169,document_174,document_173,document_177,document_183,document_170,document_906,document_768,document_394,document_1376,document_771,document_395,document_416,document_441,document_436,document_400,document_604,document_855,document_1303,document_1297,document_288,document_329,document_285,document_278,document_995,document_356,document_360,document_765,document_763,document_294,document_286,document_284,document_37,document_280,document_1377,document_757,document_766,document_1385,document_1387,document_281,document_1194,document_1196,segment_269_2,segment_307_14,segment_307_19,segment_329_2,segment_329_6,segment_329_12,segment_356_4,segment_360_2,segment_394_2,segment_395_12,segment_400_6,segment_416_3,segment_416_4,segment_416_6,segment_436_4,segment_441_2,segment_604_4,segment_604_5,segment_604_8,segment_637_11,segment_757_22,segment_757_37,segment_757_39,segment_757_41,segment_757_51,segment_757_55,segment_757_57,segment_757_68,segment_757_72,segment_757_96,segment_757_100,segment_757_109,segment_757_118,segment_757_231,segment_757_232,segment_757_238,segment_757_250,segment_763_2,segment_765_5,segment_766_16,segment_768_7,segment_768_8,segment_768_10,segment_768_12,segment_768_18,segment_768_19,segment_768_26,segment_768_29,segment_771_2,segment_771_3,segment_771_5,segment_771_6,segment_771_8,segment_771_10,segment_771_14,segment_771_15,segment_771_16,segment_771_20,segment_771_21,segment_771_24,segment_771_25,segment_771_28,segment_771_29,segment_771_32,segment_855_4,segment_906_7,segment_906_8,segment_987_14,segment_987_15,segment_995_3,segment_995_4,segment_995_10,segment_995_13,segment_995_15,segment_995_17,segment_995_22,segment_995_26,segment_995_36,segment_1032_1,segment_1032_10,segment_1054_2,segment_1054_4,segment_1054_5,segment_1194_4,segment_1194_5,segment_1196_2,segment_1297_5,segment_1303_3,segment_1303_6,segment_1303_7,segment_1303_9,segment_1303_16,segment_1356_25,segment_1356_26,segment_1356_27,segment_1356_31,segment_1356_35,segment_1376_8,segment_1376_9,segment_1376_10,segment_1376_13,segment_1377_35,segment_1377_36,segment_1377_43,segment_1377_51,segment_1382_5,segment_1383_5,segment_1383_7,segment_1385_13,segment_1385_14,segment_1385_15,segment_1385_16,segment_1387_9,segment_1387_11,segment_1387_18,segment_1417_10,segment_1678_5,segment_1737_2,segment_1782_24,segment_1782_29,segment_1804_3,segment_1804_7,segment_1815_13,segment_1815_43,segment_1826_7,segment_1826_12,segment_1826_14,segment_1826_16,segment_1828_7,segment_1828_8,segment_1828_11,segment_1828_17,segment_1962_3,segment_1962_7,segment_1962_8,segment_1962_9,segment_1970_6,segment_1991_9,segment_1996_6,segment_1997_6,segment_2002_12,segment_2040_12,segment_2041_7,segment_2097_11"
What are the main {tag} policies?,What are the main Disclosure: About incidents policies?,"document_2097,document_1379,document_1054,document_1588,document_637,document_1996,document_1826,document_1997,document_2040,document_1417,document_1382,document_1782,document_1802,document_1815,document_1962,document_1053,document_571,document_1087,document_987,document_576,document_826,document_1163,document_36,document_1376,document_771,document_441,document_855,document_896,document_1303,document_1202,document_288,document_758,document_995,document_765,document_280,document_1377,document_757,document_1387,document_281,document_1194,segment_36_6,segment_36_7,segment_441_2,segment_441_3,segment_571_3,segment_576_4,segment_637_8,segment_757_46,segment_757_50,segment_757_62,segment_757_113,segment_757_134,segment_757_159,segment_757_168,segment_757_182,segment_757_232,segment_758_3,segment_765_4,segment_771_17,segment_771_21,segment_771_25,segment_771_29,segment_771_30,segment_771_31,segment_771_32,segment_771_34,segment_826_15,segment_855_4,segment_896_4,segment_987_15,segment_995_13,segment_995_17,segment_995_24,segment_995_26,segment_995_36,segment_1053_3,segment_1053_6,segment_1054_5,segment_1087_6,segment_1163_28,segment_1194_2,segment_1194_3,segment_1194_5,segment_1202_4,segment_1202_5,segment_1202_6,segment_1303_3,segment_1303_4,segment_1376_21,segment_1377_29,segment_1377_30,segment_1377_31,segment_1377_37,segment_1377_57,segment_1379_12,segment_1382_3,segment_1382_5,segment_1387_9,segment_1387_17,segment_1387_18,segment_1387_19,segment_1417_10,segment_1588_1,segment_1782_14,segment_1782_15,segment_1782_16,segment_1782_24,segment_1782_25,segment_1802_23,segment_1802_27,segment_1815_11,segment_1815_12,segment_1815_19,segment_1826_7,segment_1826_8,segment_1826_12,segment_1826_14,segment_1826_15,segment_1826_16,segment_1962_10,segment_1996_8,segment_1997_4,segment_2040_12,segment_2097_12"
