tag,closest,closest_score,furthest,furthest_score
Applications: Agriculture and resource extraction,Applications: Energy and utilities,69.51095346887340,"Applications: Arts, sports, leisure, travel, and lifestyle",215.58198620257400
"Applications: Arts, sports, leisure, travel, and lifestyle",Applications: Broadcasting and media production,56.99577662908150,Applications: Construction and field services,240.57473561400800
Applications: Broadcasting and media production,Incentives: Criminal liability,48.10058518794990,Applications: Construction and field services,191.1266714528230
Applications: Business services and analytics,Applications: Finance and investment,52.48384335488990,Strategies: Input controls: Compute circulation,189.06162684603900
Applications: Construction and field services,Applications: Manufacturing and process automation,84.84561435327410,"Applications: Arts, sports, leisure, travel, and lifestyle",240.57473561400800
Applications: Consumer goods,Applications: Broadcasting and media production,59.92344793760390,Applications: Agriculture and resource extraction,211.9846938275840
Applications: Education,Applications: Finance and investment,52.83862044248170,Incentives: Access to business opportunities,166.44627145785300
Applications: Energy and utilities,Strategies: Government study or report,66.50637235159990,"Applications: Arts, sports, leisure, travel, and lifestyle",187.60870522130500
Applications: Finance and investment,"Applications: Medicine, life sciences and public health",49.08574646453040,Strategies: Input controls: Compute circulation,160.88905255587300
Applications: Government: benefits and welfare,Applications: Government: judicial and law enforcement,53.43437124704680,Strategies: Input controls: Compute circulation,183.18838769845800
Applications: Government: judicial and law enforcement,Applications: Government: benefits and welfare,53.43437124704680,Strategies: Input controls: Compute circulation,177.22941776540300
Applications: Government: military and public safety,Strategies: Government study or report,15.910164814929300,"Applications: Sales, retail, and customer relations",146.07303235574400
Applications: Government: other applications/unspecified,Strategies: Government support,38.11822943124980,Strategies: Input controls: Compute circulation,162.4045641126830
Applications: Manufacturing and process automation,Applications: Transportation,56.38830889880160,"Applications: Arts, sports, leisure, travel, and lifestyle",178.27248465452700
"Applications: Medicine, life sciences and public health",Harms: Harm to health/safety,36.17490966087880,Applications: Construction and field services,146.81168190908100
Applications: Networking and telecommunications,Applications: Broadcasting and media production,59.802777591364400,Applications: Construction and field services,215.94212714238400
"Applications: Sales, retail, and customer relations",Applications: Consumer goods,63.09030506936440,Strategies: Input controls: Compute use,199.17491836051800
Applications: Security,Applications: Government: military and public safety,51.624431763116300,"Applications: Arts, sports, leisure, travel, and lifestyle",169.18822540844900
Applications: Transportation,Applications: Manufacturing and process automation,56.38830889880160,Strategies: Input controls: Compute circulation,181.33856348555000
Harms: Detrimental content,"Harms: Violation of civil or human rights, including privacy",31.79450048179630,Strategies: Input controls: Compute circulation,174.21085740603800
Harms: Discrimination,"Harms: Violation of civil or human rights, including privacy",29.17379558917560,Applications: Construction and field services,163.39191518104400
Harms: Ecological harm,Harms: Harm to infrastructure,49.94067350546580,Strategies: Input controls: Compute circulation,178.02578784654200
Harms: Financial loss,"Harms: Violation of civil or human rights, including privacy",39.280067495339700,Applications: Construction and field services,179.69308539095200
Harms: Harm to health/safety,Risk factors: Safety,27.01779019575370,Strategies: Input controls: Compute circulation,156.0493754514160
Harms: Harm to infrastructure,Harms: Ecological harm,49.94067350546580,"Applications: Arts, sports, leisure, travel, and lifestyle",171.90494337129800
Harms: Harm to property,Harms: Harm to health/safety,43.014836803389200,Applications: Agriculture and resource extraction,172.58321652429900
"Harms: Violation of civil or human rights, including privacy",Harms: Discrimination,29.17379558917560,Applications: Construction and field services,163.35359805874700
Incentives: Access to business opportunities,Strategies: Governance development,76.88309945286280,Applications: Construction and field services,210.59928151559800
Incentives: Civil liability,Incentives: Fines,23.84356821629860,Applications: Construction and field services,172.3327806636390
Incentives: Criminal liability,Incentives: Imprisonment,23.186503773654200,Strategies: Input controls: Compute circulation,215.0118321156640
Incentives: Fines,Incentives: Civil liability,23.84356821629860,Applications: Construction and field services,180.4674555837140
Incentives: Imprisonment,Incentives: Criminal liability,23.186503773654200,Strategies: Input controls: Compute circulation,217.90106417508800
Incentives: Subsidies,Strategies: Government support: For R&D,47.24330346819660,Strategies: Input controls: Compute circulation,192.14153722880200
Risk factors: Bias,Harms: Discrimination,31.390161075427600,Strategies: Input controls: Compute circulation,169.50446839387000
Risk factors: Interpretability and explainability,Risk factors: Reliability,34.123888991138400,Applications: Construction and field services,169.2885526642250
Risk factors: Privacy,Risk factors: Security,31.08660417587060,Applications: Construction and field services,160.76854486087100
Risk factors: Reliability,Strategies: Evaluation,30.252444159654700,Strategies: Input controls: Compute circulation,163.1242885902900
Risk factors: Reliability: Robustness,Risk factors: Reliability,36.65258375850480,Applications: Construction and field services,173.3770805364500
Risk factors: Safety,Harms: Harm to health/safety,27.01779019575370,Strategies: Input controls: Compute circulation,163.39222503191500
Risk factors: Security,Risk factors: Security: Cybersecurity,24.368402893894000,Applications: Construction and field services,152.07229411962500
Risk factors: Security: Cybersecurity,Risk factors: Security,24.368402893894000,Applications: Construction and field services,162.90584056772300
Risk factors: Security: Dissemination,Risk factors: Security,37.38199464276730,Applications: Construction and field services,174.83259646112500
Risk factors: Transparency,Strategies: Disclosure,25.089082802080200,Strategies: Input controls: Compute circulation,164.3600665301650
Strategies: Convening,Strategies: Government study or report,22.793729221375200,Strategies: Input controls: Compute circulation,146.56249483248900
Strategies: Disclosure,Strategies: Evaluation,23.13550016688050,Applications: Construction and field services,153.5108797810190
Strategies: Disclosure: About evaluation,Strategies: Disclosure,24.88251368459280,Strategies: Input controls: Compute circulation,166.46796899769300
Strategies: Disclosure: About incidents,Strategies: Disclosure,41.83268144389060,Strategies: Input controls: Compute circulation,182.36074386550500
Strategies: Disclosure: About inputs,Strategies: Disclosure: In deployment,33.61486541264750,Applications: Construction and field services,152.489038133266
Strategies: Disclosure: Accuracy thereof,Strategies: Disclosure,71.64787624257150,Strategies: Input controls: Compute circulation,212.19545077381300
Strategies: Disclosure: In deployment,Strategies: Disclosure,24.345430006250600,Strategies: Input controls: Compute circulation,158.125127755934
Strategies: Disclosure: In standard form,Strategies: Disclosure,31.024707812707500,Applications: Construction and field services,170.28563089416600
Strategies: Evaluation,Strategies: Government study or report,20.89231607379520,Applications: Construction and field services,146.33431414628700
Strategies: Evaluation: Adversarial testing,Risk factors: Security,44.46973621110380,Applications: Construction and field services,178.10450965013200
Strategies: Evaluation: Conformity assessment,Strategies: Evaluation,30.448388748099200,Strategies: Input controls: Compute circulation,173.26536233917900
Strategies: Evaluation: External auditing,Strategies: Evaluation,37.58222758096230,Strategies: Input controls: Compute circulation,180.45659511917500
Strategies: Evaluation: Impact assessment,Strategies: Evaluation,24.409441306638000,Strategies: Input controls: Compute circulation,155.55506567477400
Strategies: Evaluation: Post-market monitoring,Strategies: Evaluation,32.864017493328400,Applications: Construction and field services,166.00378421992800
Strategies: Governance development,Strategies: Government study or report,21.251759094002500,Strategies: Input controls: Compute circulation,145.02052470511600
Strategies: Government study or report,Applications: Government: military and public safety,15.910164814929300,Applications: Construction and field services,137.82207319965500
Strategies: Government support,Strategies: Government support: For R&D,15.870720921242800,Strategies: Input controls: Compute circulation,143.01486909743700
Strategies: Government support: AI workforce-related,Strategies: Government support,19.75526902103980,Strategies: Input controls: Compute circulation,149.75523611786200
Strategies: Government support: For R&D,Strategies: Government support,15.870720921242800,Strategies: Input controls: Compute circulation,148.06663012526600
Strategies: Input controls,Strategies: Input controls: Data use,33.04423754060780,Applications: Agriculture and resource extraction,164.29204057861700
Strategies: Input controls: Compute circulation,Applications: Security,76.50122739682600,"Applications: Arts, sports, leisure, travel, and lifestyle",226.98218438220400
Strategies: Input controls: Compute use,Strategies: Input controls,59.04561903305330,Applications: Consumer goods,204.2945032368930
Strategies: Input controls: Data circulation,Strategies: Input controls: Data use,38.998479059316700,Applications: Agriculture and resource extraction,185.42101380491000
Strategies: Input controls: Data use,Strategies: Input controls,33.04423754060780,Applications: Agriculture and resource extraction,163.52058252552100
"Strategies: Licensing, registration, and certification",Strategies: Disclosure,52.80498702175950,Applications: Agriculture and resource extraction,158.1051952323080
Strategies: New institution,Strategies: Government study or report,27.348200846953900,Applications: Construction and field services,148.51990188154000
Strategies: Performance requirements,Strategies: Evaluation,33.63071942723770,Applications: Construction and field services,160.63864738820000
Strategies: Pilots and testbeds,Applications: Government: military and public safety,34.74040767587710,"Applications: Arts, sports, leisure, travel, and lifestyle",155.83336818866800
Strategies: Tiering,Strategies: Tiering: Tiering based on impact,34.11106945678320,Applications: Construction and field services,176.43378409354900
Strategies: Tiering: Tiering based on domain of application,Strategies: Tiering,34.95279935773900,Applications: Construction and field services,179.53500499351700
Strategies: Tiering: Tiering based on generality,Strategies: Tiering: Tiering based on domain of application,61.05847428607610,Applications: Agriculture and resource extraction,205.0213637166370
Strategies: Tiering: Tiering based on impact,Strategies: Tiering,34.11106945678320,Applications: Construction and field services,172.68585249952700
Strategies: Tiering: Tiering based on inputs,Strategies: Tiering: Tiering based on domain of application,46.5718887279445,Applications: Agriculture and resource extraction,169.91549386466100
Strategies: Tiering: Tiering based on planning ability,Strategies: Tiering,67.90675062735440,Strategies: Input controls: Compute circulation,200.39392276401800
